# CTD data from cruise,,,,,,,,,,,
# Station number 2,,,,,,,,,,,
# Collected 14 March 2010,,,,,,,,,,,
Year,Month,Day,Hour,Minute,Bottom depth,Niskin,Pressure,Depth,Temperature,Practical salinity,Oxygen
,,,,,m,,dbar,m,?C,,umol/kg
2010,3,14,15,33,2566.4,1,4.3,4,2.3434,33.77497477,328.5
2010,3,14,15,33,2566.4,2,44.6,44,2.3324,33.77598385,330.7
2010,3,14,15,33,2566.4,3,81.6,81,2.2132,33.790111,329.9
2010,3,14,15,33,2566.4,4,124.9,124,-0.0455,34.02320888,304.3
2010,3,14,15,33,2566.4,5,176.1,174,0.5173,-777,-999
2010,3,14,15,33,2566.4,6,223.4,221,1.0703,34.45408678,208.8
2010,3,14,15,33,2566.4,7,272.1,270,1.4738,34.57416751,187.4
2010,3,14,15,33,2566.4,8,350.2,347,1.658,34.65590313,183
2010,3,14,15,33,2566.4,9,451,447,1.6626,34.69828456,181.6
2010,3,14,15,33,2566.4,10,551.9,546,1.6018,34.72048436,186.2
2010,3,14,15,33,2566.4,11,649.6,643,1.5305,34.7346115,189.8
2010,3,14,15,33,2566.4,12,750.4,742,1.433,34.74167508,193
2010,3,14,15,33,2566.4,13,850.7,841,1.2998,34.74369324,196.3
2010,3,14,15,33,2566.4,14,951.6,941,1.1955,34.74167508,198.3
2010,3,14,15,33,2566.4,15,1050.6,1039,1.0749,34.73965691,200.4
2010,3,14,15,33,2566.4,16,1150.5,1137,0.9425,34.73562059,202.4
2010,3,14,15,33,2566.4,17,1251,1236,0.848,34.73158426,203.7
2010,3,14,15,33,2566.4,18,1401.4,1384,0.7541,34.73057518,205.1
2010,3,14,15,33,2566.4,19,1600.3,1580,0.6149,34.7235116,207.7
2010,3,14,15,33,2566.4,20,1805.2,1781,0.5034,34.72149344,209.3
2010,3,14,15,33,2566.4,21,2000.6,1973,0.439,34.72048436,209.2
2010,3,14,15,33,2566.4,22,2200.1,2169,0.3975,34.71543895,211.4
2010,3,14,15,33,2566.4,23,2400.8,2366,0.3791,34.71644803,212
2010,3,14,15,33,2566.4,24,2556.4,2518,0.3799,34.71442987,210.6
# Ignore all below here - calibration data,,,,,,,,,,,
2010,3,14,18,0,-999,-999,0,0,25,35,400.2
2010,3,14,18,0,-999,-999,0,0,20,35,372.3
